Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:2wf9bp4MkChojtljddWpbO","PRBLMS","6LACK","FREE 6LACK","1","3","246773","spotify:user:126883645","2017-11-12T06:22:59Z"
"spotify:local:PM+Dawn:Set+Adrift+On+Memory+Bliss+LP:Set+Adrift+On+Memory+Bliss+%28Extended+Mix%29:364","Set Adrift On Memory Bliss (Extended Mix)","PM Dawn","Set Adrift On Memory Bliss LP","0","0","364000","spotify:user:126883645","2017-11-12T06:27:09Z"
"spotify:track:4eFBeXmhkXOo8dUgMqyKfS","You","Keyshia Cole, Remy Ma, French Montana","You","1","1","232459","spotify:user:126883645","2017-11-12T06:27:30Z"
"spotify:track:2I88NEWpKrAPZuapXNV5G6","Belong To You (feat. 6LACK) - Remix [Bonus Track]","Sabrina Claudio, 6LACK","About Time","1","12","185617","spotify:user:126883645","2017-11-12T06:27:48Z"
"spotify:track:1xM3z7vrZolWpb1iQgLkYc","No Love","Lyves","No Love","1","1","265416","spotify:user:126883645","2017-11-12T06:28:11Z"
"spotify:track:3ak6Fscs4qMoVsIwaDLgZv","Wait","August Alsina","Wait","1","1","205413","spotify:user:126883645","2017-11-12T06:28:22Z"
"spotify:track:3PFaFVWq5wucLu6s4baj9D","Girl","The Internet, KAYTRANADA","Ego Death","1","7","415613","spotify:user:126883645","2017-11-12T06:42:32Z"
"spotify:track:7JbazVdiAufL9cfJ8yZiwL","Rocket Science","Joyce Wrice, Kay Franklin","Rocket Science","1","1","248433","spotify:user:126883645","2017-11-12T06:28:59Z"
"spotify:track:6OBCkVPHqj9IrSUksESzre","Hipster Girl","Sango, Xavier Omär","Hours Spent Loving You","1","2","196000","spotify:user:126883645","2017-11-12T06:29:09Z"
"spotify:track:2zIkPM6r0yEjWt18qG3jP3","Afraid","Xavier Omär","Afraid","1","1","220043","spotify:user:126883645","2017-11-12T06:29:17Z"
"spotify:track:3cQmqM0awej9iAESjhKrI9","Confidently Lost","Sabrina Claudio","Confidently Lost","1","4","209885","spotify:user:126883645","2017-11-12T06:29:26Z"
"spotify:track:6OVDdIF1LyY36sXL5xGCSR","Don't Choose","dvsn","Morning After","1","5","221946","spotify:user:126883645","2017-11-12T06:29:41Z"
"spotify:track:1RKytJX5Lpe8yJm1Jx7XU5","Yours","SG Lewis","Yours - EP","1","1","230540","spotify:user:126883645","2017-11-12T06:29:49Z"
"spotify:track:4GXMWFus2XoMuPqP5gdgld","Velvet / Jenny Francis - Interlude","Stormzy","Gang Signs & Prayer","1","6","339933","spotify:user:126883645","2017-11-12T06:30:02Z"
"spotify:track:1zqCcxtHDODySsHnM7lxox","Friends With Benefits","Tory Lanez","I Told You","1","12","329466","spotify:user:126883645","2017-11-12T06:30:16Z"
"spotify:track:5eAfVUSEsIxTi6dE6bnfMk","底線","吳卓源","底線","1","1","188571","spotify:user:126883645","2017-11-12T06:30:25Z"
"spotify:track:6RD9GItAGZ3gbUbx14okHF","One I Want (feat. PARTYNEXTDOOR)","Majid Jordan, PARTYNEXTDOOR","The Space Between","1","6","212546","spotify:user:126883645","2017-11-12T06:30:33Z"
"spotify:track:600OCZ1UO4sMpHO3F1E2jb","P.O.V.","dvsn","Morning After","1","7","216000","spotify:user:126883645","2017-11-12T06:30:42Z"
"spotify:track:622oKQUY506qg0qI2mV8E0","Miss California","Tone Stith","Can We Talk","1","11","232793","spotify:user:126883645","2017-11-12T06:30:50Z"
"spotify:track:1VZLEW5ZfcAbKZ94XQiSZF","Close To You","Frank Ocean","Blonde","1","13","85754","spotify:user:126883645","2017-11-12T06:31:09Z"
"spotify:track:5Z3GHaZ6ec9bsiI5BenrbY","Young Dumb & Broke","Khalid","American Teen","1","2","202546","spotify:user:126883645","2017-11-12T06:31:20Z"

